dt=0.010000 dtacc=0.020000 dtmag=0.100000 racc=0.100000 rmag=0.500000 qbg=0.000100
q0 q1 q2 q3 gbx gby gbz roll pitch yaw
0.000041 0.001040 -0.000492 0.000726 -0.004810 0.002779
0.000098 0.001140 -0.000512 0.000726 -0.004810 0.002779
0.000117 0.001097 -0.000573 0.000734 -0.004805 0.002779
0.000155 0.001157 -0.000636 0.000734 -0.004805 0.002779
0.000185 0.001228 -0.000686 0.000729 -0.004818 0.002768
0.000176 0.001257 -0.000691 0.000729 -0.004818 0.002768
0.000208 0.001189 -0.000735 0.000721 -0.004795 0.002768
0.000190 0.001190 -0.000734 0.000721 -0.004795 0.002768
0.000148 0.001201 -0.000816 0.000711 -0.004771 0.002768
0.000064 0.001291 -0.000814 0.000711 -0.004771 0.002768
0.000021 0.001268 -0.000933 0.000700 -0.004747 0.002768
0.000070 0.001292 -0.000939 0.000700 -0.004747 0.002768
0.000086 0.001267 -0.000942 0.000690 -0.004706 0.002768
0.000044 0.001255 -0.001025 0.000690 -0.004706 0.002768
0.000074 0.001241 -0.001151 0.000692 -0.004701 0.002812
0.000063 0.001178 -0.001125 0.000692 -0.004701 0.002812
0.000093 0.001244 -0.001154 0.000699 -0.004670 0.002812
0.000032 0.001343 -0.001238 0.000699 -0.004670 0.002812
0.000049 0.001360 -0.001282 0.000717 -0.004670 0.002812
0.000027 0.001277 -0.001290 0.000717 -0.004670 0.002812
0.000029 0.001185 -0.001320 0.000707 -0.004648 0.002812
-0.000069 0.001174 -0.001331 0.000707 -0.004648 0.002812
-0.000088 0.001133 -0.001313 0.000722 -0.004627 0.002812
-0.000009 0.001076 -0.001313 0.000722 -0.004627 0.002812
-0.000001 0.001079 -0.001140 0.000719 -0.004649 0.002703
-0.000026 0.001045 -0.001213 0.000719 -0.004649 0.002703
0.000038 0.000960 -0.001215 0.000713 -0.004621 0.002703
0.000031 0.001049 -0.001152 0.000713 -0.004621 0.002703
0.000056 0.001019 -0.001199 0.000704 -0.004599 0.002703
-0.000006 0.001037 -0.001220 0.000704 -0.004599 0.002703
0.000035 0.000963 -0.001239 0.000705 -0.004598 0.002703
0.000079 0.000890 -0.001257 0.000705 -0.004598 0.002703
0.000080 0.000905 -0.001361 0.000726 -0.004579 0.002703
0.000095 0.000915 -0.001507 0.000726 -0.004579 0.002703
0.000142 0.000879 -0.001772 0.000718 -0.004601 0.002820
0.000174 0.000873 -0.001857 0.000718 -0.004601 0.002820
0.000214 0.000808 -0.001869 0.000708 -0.004570 0.002820
0.000270 0.000850 -0.001898 0.000708 -0.004570 0.002820
0.000252 0.000826 -0.001906 0.000705 -0.004577 0.002820
0.000220 0.000819 -0.001897 0.000705 -0.004577 0.002820
0.000273 0.000810 -0.001868 0.000696 -0.004567 0.002820
0.000279 0.000752 -0.001890 0.000696 -0.004567 0.002820
0.000288 0.000821 -0.001899 0.000701 -0.004557 0.002820
0.000233 0.000826 -0.001926 0.000701 -0.004557 0.002820
0.000319 0.000890 -0.001812 0.000699 -0.004579 0.002726
0.000303 0.000868 -0.001899 0.000699 -0.004579 0.002726
0.000271 0.000827 -0.001939 0.000697 -0.004559 0.002726
0.000293 0.000878 -0.001956 0.000697 -0.004559 0.002726
0.000351 0.000790 -0.001959 0.000696 -0.004530 0.002726
0.000338 0.000765 -0.001966 0.000696 -0.004530 0.002726
0.000421 0.000786 -0.002074 0.000702 -0.004525 0.002726
0.000401 0.000803 -0.002002 0.000702 -0.004525 0.002726
0.000393 0.000805 -0.002054 0.000692 -0.004493 0.002726
0.000326 0.000789 -0.002008 0.000692 -0.004493 0.002726
0.000350 0.000802 -0.001744 0.000685 -0.004505 0.002610
