dt=0.010000 dtgps=0.100000 dtbaro=0.100000 kp_baro=0.000000 kp_gps=0.000000 ki=0.010000
dt=0.000000 dtgps=0.000000 dtbaro=0.010000 kp_baro=0.010000 kp_gps=0.010000 ki=0.000000
dt=0.010000 dtgps=0.010000 dtbaro=0.000000 kp_baro=0.001000 kp_gps=0.001000 ki=0.001000
dt=0.001000 dtgps=0.001000 dtbaro=0.001000 kp_baro=px py pz vx vy vz
0.814622 0.162456 -52.651209 0.637881 0.067629 -34.949290
0.821014 0.163137 -53.001679 0.639209 0.068089 -35.046999
0.827421 0.163822 -53.353128 0.640641 0.068490 -35.144802
0.833841 0.164510 -53.705554 0.642053 0.068853 -35.242632
0.840276 0.165201 -54.058957 0.643465 0.069110 -35.340365
0.846724 0.165894 -54.413339 0.644858 0.069319 -35.438199
0.853187 0.166590 -54.768699 0.646250 0.069558 -35.535983
0.859663 0.167289 -55.125036 0.647607 0.069851 -35.633668
0.866152 0.167990 -55.482352 0.648953 0.070152 -35.731576
0.869498 0.170254 -55.842574 0.334543 0.226353 -36.022242
0.872857 0.172522 -56.203774 0.335888 0.226863 -36.119973
0.876230 0.174794 -56.565951 0.337281 0.227204 -36.217754
0.879616 0.177068 -56.929107 0.338596 0.227416 -36.315565
0.883016 0.179345 -57.293240 0.340023 0.227636 -36.413247
0.886430 0.181623 -57.658350 0.341410 0.227868 -36.511054
0.889856 0.183906 -58.024440 0.342614 0.228209 -36.608967
0.893297 0.186192 -58.391509 0.344072 0.228640 -36.706891
0.896752 0.188482 -58.759555 0.345519 0.229041 -36.804669
0.900220 0.190776 -59.128580 0.346823 0.229371 -36.902430
0.905844 0.190040 -59.500436 0.562356 -0.073574 -37.185647
0.911480 0.189307 -59.873272 0.563605 -0.073323 -37.283607
0.917128 0.188576 -60.247087 0.564781 -0.073119 -37.381497
0.922789 0.187848 -60.621880 0.566157 -0.072798 -37.479327
0.928466 0.187123 -60.997652 0.567664 -0.072466 -37.577152
0.934156 0.186402 -61.374401 0.569024 -0.072138 -37.674909
0.939858 0.185683 -61.752128 0.570186 -0.071869 -37.772724
0.945573 0.184966 -62.130834 0.571475 -0.071697 -37.870610
0.951300 0.184251 -62.510521 0.572768 -0.071522 -37.968619
0.957040 0.183537 -62.891186 0.574013 -0.071369 -38.066507
0.962899 0.186764 -63.274569 0.585853 0.322699 -38.338338
0.968772 0.189994 -63.658929 0.587260 0.323014 -38.436043
0.974659 0.193228 -64.044267 0.588721 0.323330 -38.533771
0.980557 0.196464 -64.430584 0.589821 0.323669 -38.631637
0.986467 0.199703 -64.817879 0.590973 0.323887 -38.729577
0.992389 0.202946 -65.206152 0.592191 0.324255 -38.827314
0.998324 0.206191 -65.595401 0.593498 0.324478 -38.924828
1.004273 0.209438 -65.985628 0.594973 0.324761 -39.022680
1.010238 0.212689 -66.376833 0.596427 0.325126 -39.120531
1.016214 0.215943 -66.769015 0.597651 0.325402 -39.218221
1.019265 0.216156 -67.163694 0.305041 0.021293 -39.467891
1.022326 0.216372 -67.559351 0.306112 0.021596 -39.565684
1.025399 0.216593 -67.955985 0.307306 0.022051 -39.663470
1.028485 0.216817 -68.353598 0.308599 0.022452 -39.761252
1.031584 0.217044 -68.752188 0.309978 0.022681 -39.859034
1.034698 0.217272 -69.151757 0.311306 0.022813 -39.956820
1.037824 0.217501 -69.552302 0.312660 0.022889 -40.054556
1.040964 0.217732 -69.953825 0.314020 0.023033 -40.152315
1.044118 0.217965 -70.356326 0.315388 0.023307 -40.250048
1.047284 0.218201 -70.759804 0.316565 0.023634 -40.347813
1.054829 0.218229 -71.165723 0.754488 0.002788 -40.591943
1.062386 0.218262 -71.572622 0.755681 0.003277 -40.689900
1.069956 0.218297 -71.980500 0.757046 0.003489 -40.787780
1.077539 0.218333 -72.389357 0.758285 0.003656 -40.885667
1.085134 0.218372 -72.799190 0.759519 0.003922 -40.983355
1.092742 0.218415 -73.210000 0.760822 0.004265 -41.080990
1.100362 0.218460 -73.621789 0.761970 0.004540 -41.178903
